Taxpayer_ID,Business_Name,Tax_Year,Tax_Type,Industry,City,Reported_Revenue,Reported_Deductions,Taxable_Income,Tax_Paid,Expected_Tax,Estimated_Tax_Gap,Number_of_Employees,Filing_Status,Previously_Audited,Prior_Audit_Result,Industry_Avg_Revenue,Revenue_Ratio,Compliance_Flag
MA-010658,Harbor Healthcare Associates,2025,Income,Auto Repair,Boston,306121.18,108638.87,197482.31,20524.82,25778.84,5254.01,1,On Time,No,N/A,300000,1.0204,Compliant
MA-010659,Eastern Retail Partners,2024,Sales/Use,Manufacturing,New Bedford,956225.6,397941.07,558284.53,34892.78,49817.45,14924.67,10,On Time,No,N/A,1500000,0.6375,Compliant
MA-010660,Eastern Healthcare Enterprise,2023,Rooms Occupancy,Restaurant,Chelsea,97698.24,30674.68,67023.56,3853.85,16111.29,12257.44,3,Late,No,N/A,450000,0.2171,Suspicious
MA-010661,Liberty Healthcare Associates,2022,Sales/Use,Real Estate,Boston,696488.78,287735.26,408753.52,25547.1,30321.21,4774.12,11,On Time,No,N/A,700000,0.995,Compliant
MA-010662,Harbor Construction Enterprise,2022,Corporate,Real Estate,Quincy,711808.36,214368.79,497439.56,25633.68,25675.41,41.74,10,On Time,No,N/A,700000,1.0169,Compliant
MA-010663,Coastal Retail Co,2023,Sales/Use,Restaurant,Boston,461163.71,140215.12,320948.58,20059.29,23989.17,3929.89,1,Late,No,N/A,450000,1.0248,Compliant
MA-010664,Beacon Retail Partners,2024,Corporate,Construction,Chelsea,503576.2,180792.18,322784.02,36003.6,39990.4,3986.79,5,On Time,No,N/A,800000,0.6295,Compliant
MA-010665,Liberty Manufacturing Partners,2023,Corporate,Professional Services,Cambridge,272971.84,44681.05,228290.79,15221.33,15849.36,628.03,6,Late,Yes,Underpaid,500000,0.5459,Compliant
MA-010666,Liberty Healthcare Holdings,2023,Meals,Auto Repair,Worcester,446163.96,147924.71,298239.25,20876.75,24616.68,3739.93,11,On Time,Yes,Compliant,300000,1.4872,Compliant
MA-010667,Colonial Professional Services Holdings,2024,Corporate,Healthcare,New Bedford,1060051.83,272056.94,787994.89,79692.58,89511.09,9818.51,21,Not Filed,No,N/A,1200000,0.8834,Compliant
MA-010668,Harbor Retail Group,2022,Meals,Restaurant,Lowell,479565.26,197105.03,282460.23,19772.22,23907.7,4135.48,4,Late,No,N/A,450000,1.0657,Compliant
MA-010669,Bay State Retail Services,2025,Income,Manufacturing,Boston,811647.23,157865.59,653781.64,54610.7,74838.13,20227.43,13,On Time,No,N/A,1500000,0.5411,Underpaid
MA-010670,Southern Retail Co,2023,Sales/Use,Manufacturing,Boston,1356222.23,536046.51,820175.72,51260.98,58156.05,6895.07,17,On Time,No,N/A,1500000,0.9041,Compliant
MA-010671,Harbor Real Estate Partners,2025,Corporate,Restaurant,Springfield,485959.31,74612.52,411346.79,23438.99,20887.23,0.0,5,Late,Yes,Compliant,450000,1.0799,Compliant
MA-010672,Harbor Healthcare Corp,2022,Income,Hospitality,Lynn,382854.11,168420.67,214433.44,25095.84,39031.62,13935.78,10,On Time,No,N/A,350000,1.0939,Compliant
MA-010673,Pilgrim Retail Ventures,2025,Income,Retail,New Bedford,763302.24,190464.44,572837.8,34837.67,40296.45,5458.78,2,On Time,No,N/A,600000,1.2722,Compliant
MA-010674,Bay State Real Estate LLC,2022,Meals,Healthcare,Boston,184435.47,35513.14,148922.33,10424.56,8338.05,0.0,6,On Time,Yes,Compliant,1200000,0.1537,Compliant
MA-010675,Federal Hospitality Services,2025,Income,Restaurant,Lowell,142993.47,28722.77,114270.7,6594.5,11728.79,5134.29,1,Amended,No,N/A,450000,0.3178,Underpaid
MA-010676,Liberty Healthcare Co,2022,Income,Retail,Chelsea,367092.92,121097.88,245995.04,23999.36,29276.43,5277.07,1,On Time,No,N/A,600000,0.6118,Compliant
MA-010677,Commonwealth Manufacturing Services,2022,Corporate,Retail,Brockton,587786.87,231127.1,356659.77,35591.6,58999.74,23408.13,12,Amended,Yes,Compliant,600000,0.9796,Underpaid
MA-010678,Valley Auto Repair Associates,2025,Corporate,Restaurant,Lowell,252114.27,42908.36,209205.91,18922.47,21637.99,2715.52,1,Late,No,N/A,450000,0.5603,Underpaid
MA-010679,Patriot Manufacturing LLC,2025,Income,Restaurant,Somerville,375182.44,102868.76,272313.68,28741.38,30429.35,1687.97,6,On Time,No,N/A,450000,0.8337,Compliant
MA-010680,Colonial Retail Group,2025,Corporate,Professional Services,Boston,241310.22,64040.88,177269.34,16072.56,16229.62,157.06,3,On Time,No,N/A,500000,0.4826,Compliant
MA-010681,Cape Real Estate Inc,2023,Sales/Use,Professional Services,New Bedford,0.0,0.0,0.0,0.0,22945.49,22945.49,9,Not Filed,No,N/A,500000,0.0,Non-Filer
MA-010682,Southern Manufacturing Co,2023,Corporate,Auto Repair,Boston,223190.41,95838.53,127351.89,10121.34,20029.08,9907.74,1,On Time,No,N/A,300000,0.744,Underpaid
MA-010683,Summit Retail Enterprise,2023,Sales/Use,Professional Services,Boston,484609.39,80554.2,404055.19,25253.45,37056.74,11803.3,8,Late,No,N/A,500000,0.9692,Underpaid
MA-010684,Patriot Healthcare Group,2023,Income,Construction,Chelsea,753206.2,300770.6,452435.6,35812.38,43679.47,7867.09,5,On Time,No,N/A,800000,0.9415,Compliant
MA-010685,Commonwealth Retail Group,2025,Rooms Occupancy,Restaurant,Cambridge,389062.66,59901.19,329161.47,18926.78,18253.21,0.0,1,Late,Yes,Compliant,450000,0.8646,Compliant
MA-010686,Federal Restaurant Services,2025,Income,Healthcare,Boston,470700.84,187741.6,282959.23,32353.7,96925.62,64571.92,22,On Time,No,N/A,1200000,0.3923,Suspicious
MA-010687,Coastal Manufacturing Group,2025,Special Fuels,Construction,Boston,371183.26,99361.04,271822.22,65237.33,63904.35,0.0,1,Late,No,N/A,800000,0.464,Compliant
MA-010688,Pioneer Real Estate Enterprise,2025,Sales/Use,Healthcare,Boston,1767090.58,294046.52,1473044.06,92065.25,86707.66,0.0,21,On Time,No,N/A,1200000,1.4726,Compliant
MA-010689,Atlantic Construction Group,2024,Corporate,Retail,Boston,447839.4,95646.4,352193.0,17880.27,15811.36,0.0,11,On Time,No,N/A,600000,0.7464,Compliant
MA-010690,Coastal Retail Ventures,2022,Income,Retail,Lynn,492775.13,80669.35,412105.78,29680.11,22807.52,0.0,15,On Time,Yes,Compliant,600000,0.8213,Compliant
MA-010691,Metro Restaurant Group,2025,Income,Retail,Springfield,748434.85,186656.25,561778.6,63343.79,62146.75,0.0,6,On Time,No,N/A,600000,1.2474,Compliant
MA-010692,Patriot Auto Repair Corp,2025,Meals,Manufacturing,Boston,2491295.24,883692.8,1607602.44,112532.17,150586.85,38054.68,29,Amended,No,N/A,1500000,1.6609,Compliant
MA-010693,Southern Retail Corp,2023,Income,Real Estate,Boston,0.0,0.0,0.0,0.0,77037.62,77037.62,12,Not Filed,No,N/A,700000,0.0,Non-Filer
MA-010694,Beacon Real Estate Services,2024,Income,Manufacturing,Springfield,563536.43,205030.75,358505.68,35062.27,168744.22,133681.95,34,On Time,No,N/A,1500000,0.3757,Suspicious
MA-010695,Colonial Retail Enterprise,2025,Sales/Use,Healthcare,Somerville,1257730.8,395104.58,862626.22,53914.14,49740.83,0.0,11,Late,No,N/A,1200000,1.0481,Compliant
MA-010696,Harbor Restaurant Inc,2024,Corporate,Restaurant,Boston,511385.71,87620.92,423764.79,42268.78,39232.23,0.0,3,On Time,No,N/A,450000,1.1364,Compliant
MA-010697,Valley Construction Corp,2023,Corporate,Real Estate,Fall River,1186917.77,280097.78,906819.99,71305.37,68701.53,0.0,15,Not Filed,No,N/A,700000,1.6956,Compliant
MA-010698,Patriot Auto Repair Associates,2024,Sales/Use,Construction,Cambridge,686957.89,283866.52,403091.37,25193.21,28123.17,2929.96,9,On Time,Yes,Underpaid,800000,0.8587,Compliant
MA-010699,Bay State Retail Services,2022,Sales/Use,Restaurant,Fall River,239456.92,64601.68,174855.24,10928.45,12945.17,2016.71,1,Amended,No,N/A,450000,0.5321,Compliant
MA-010700,Coastal Construction Group,2025,Corporate,Construction,Boston,957378.67,408558.69,548819.98,56953.88,97530.32,40576.44,11,On Time,No,N/A,800000,1.1967,Underpaid
MA-010701,Patriot Healthcare Services,2025,Corporate,Retail,Somerville,377170.44,109752.93,267417.51,25355.23,29109.29,3754.06,7,On Time,Yes,Compliant,600000,0.6286,Compliant
MA-010702,Valley Construction Solutions,2025,Corporate,Construction,Lynn,1100577.2,415561.35,685015.85,54530.29,73561.67,19031.38,18,On Time,No,N/A,800000,1.3757,Compliant
MA-010703,Bay State Construction Services,2025,Income,Restaurant,Worcester,376328.29,150216.98,226111.31,12768.71,22667.75,9899.05,3,On Time,No,N/A,450000,0.8363,Underpaid
MA-010704,Northern Professional Services Holdings,2025,Corporate,Manufacturing,Boston,472041.75,169466.31,302575.45,22641.26,42007.02,19365.76,17,On Time,No,N/A,1500000,0.3147,Underpaid
MA-010705,Coastal Professional Services Solutions,2022,Sales/Use,Restaurant,Fall River,394519.16,175920.19,218598.97,13662.44,16621.29,2958.86,3,On Time,No,N/A,450000,0.8767,Compliant
MA-010706,Metro Healthcare Corp,2025,Income,Professional Services,Worcester,760657.18,267890.98,492766.2,33703.33,35665.12,1961.79,12,On Time,No,N/A,500000,1.5213,Compliant
MA-010707,Metro Hospitality Corp,2022,Sales/Use,Auto Repair,Brockton,0.0,0.0,0.0,0.0,16000.39,16000.39,15,Not Filed,No,N/A,300000,0.0,Non-Filer
MA-010708,Northern Restaurant Corp,2022,Special Fuels,Retail,Worcester,489990.56,147303.69,342686.87,82244.85,76513.84,0.0,10,Late,No,N/A,600000,0.8167,Compliant
MA-010709,Pioneer Healthcare Partners,2024,Corporate,Professional Services,Springfield,0.0,0.0,0.0,0.0,44433.18,44433.18,7,Not Filed,No,N/A,500000,0.0,Non-Filer
MA-010710,Commonwealth Healthcare Group,2024,Corporate,Healthcare,Boston,1772125.25,595634.24,1176491.01,135013.51,141063.34,6049.83,25,On Time,No,N/A,1200000,1.4768,Compliant
MA-010711,Pioneer Hospitality Associates,2025,Sales/Use,Manufacturing,Boston,1465152.98,263596.58,1201556.4,75097.27,84164.93,9067.66,27,On Time,No,N/A,1500000,0.9768,Underpaid
MA-010712,Federal Real Estate LLC,2023,Corporate,Restaurant,Worcester,383223.89,111469.2,271754.69,15954.95,15234.12,0.0,1,On Time,No,N/A,450000,0.8516,Compliant
MA-010713,Pioneer Healthcare Holdings,2025,Sales/Use,Construction,Brockton,341693.7,78686.16,263007.54,16437.97,21842.27,5404.3,1,Not Filed,No,N/A,800000,0.4271,Underpaid
MA-010714,Pilgrim Healthcare Associates,2022,Sales/Use,Auto Repair,Quincy,520309.51,209284.55,311024.95,19439.06,23581.12,4142.06,1,On Time,No,N/A,300000,1.7344,Compliant
MA-010715,Northern Hospitality Inc,2025,Sales/Use,Retail,Boston,562210.86,150669.88,411540.98,25721.31,29165.85,3444.54,5,On Time,No,N/A,600000,0.937,Compliant
MA-010716,Northern Professional Services Solutions,2023,Corporate,Construction,Lynn,886636.84,159482.36,727154.48,77138.03,70905.96,0.0,15,Amended,No,N/A,800000,1.1083,Compliant
MA-010717,Pioneer Retail Services,2024,Sales/Use,Manufacturing,Brockton,1851725.22,292002.38,1559722.84,97482.68,102265.44,4782.76,21,On Time,No,N/A,1500000,1.2345,Compliant
MA-010718,Northern Hospitality Holdings,2022,Corporate,Restaurant,Chelsea,250354.66,71629.44,178725.22,16836.83,31158.96,14322.13,6,On Time,No,N/A,450000,0.5563,Underpaid
MA-010719,Metro Restaurant Group,2023,Corporate,Hospitality,Worcester,250080.28,86972.25,163108.03,11294.83,14698.88,3404.05,12,Late,No,N/A,350000,0.7145,Underpaid
MA-010720,Harbor Hospitality Solutions,2025,Income,Professional Services,Chelsea,574371.84,117280.02,457091.83,25330.52,22207.02,0.0,11,On Time,No,N/A,500000,1.1487,Compliant
MA-010721,Northern Healthcare LLC,2025,Meals,Retail,Boston,711353.22,196313.67,515039.56,36052.77,34463.33,0.0,15,On Time,No,N/A,600000,1.1856,Compliant
MA-010722,Commonwealth Healthcare Group,2023,Income,Construction,Boston,814277.98,360541.74,453736.24,54249.51,76935.47,22685.96,4,On Time,No,N/A,800000,1.0178,Compliant
MA-010723,Eastern Healthcare Enterprise,2022,Sales/Use,Healthcare,Boston,1362322.27,515350.56,846971.7,52935.73,68566.5,15630.76,13,On Time,No,N/A,1200000,1.1353,Compliant
MA-010724,Pilgrim Retail Services,2022,Income,Hospitality,Boston,280080.05,58752.74,221327.3,12491.25,11456.81,0.0,6,On Time,No,N/A,350000,0.8002,Compliant
MA-010725,Eastern Healthcare Enterprise,2025,Corporate,Construction,Fall River,1212022.49,442653.45,769369.04,90270.83,114005.16,23734.33,14,On Time,No,N/A,800000,1.515,Compliant
MA-010726,Liberty Healthcare Ventures,2025,Income,Healthcare,Boston,1356234.97,535397.7,820837.26,76833.46,90257.25,13423.79,25,Amended,No,N/A,1200000,1.1302,Compliant
MA-010727,Metro Restaurant Co,2022,Sales/Use,Healthcare,Springfield,1297773.46,423153.02,874620.44,54663.78,64110.63,9446.85,29,On Time,No,N/A,1200000,1.0815,Compliant
MA-010728,Patriot Healthcare Services,2022,Corporate,Professional Services,Somerville,619297.64,159359.75,459937.89,25335.6,23821.6,0.0,1,On Time,No,N/A,500000,1.2386,Compliant
MA-010729,Atlantic Construction Associates,2022,Corporate,Manufacturing,Boston,1932077.53,810744.54,1121332.99,100151.68,129546.24,29394.57,25,On Time,No,N/A,1500000,1.2881,Compliant
MA-010730,Pioneer Retail Holdings,2022,Income,Construction,Boston,1217335.01,298654.87,918680.14,66520.25,69663.7,3143.45,18,Amended,No,N/A,800000,1.5217,Compliant
MA-010731,Valley Hospitality Associates,2022,Corporate,Construction,Somerville,749578.38,242056.96,507521.42,35502.43,38267.86,2765.42,3,On Time,No,N/A,800000,0.937,Compliant
MA-010732,Metro Hospitality Corp,2025,Income,Real Estate,Lynn,169538.02,58224.9,111313.12,6106.84,29529.9,23423.06,3,Amended,No,N/A,700000,0.2422,Suspicious
MA-010733,Eastern Manufacturing LLC,2025,Meals,Professional Services,Worcester,399948.13,107185.4,292762.73,20493.39,19676.26,0.0,7,On Time,No,N/A,500000,0.7999,Compliant
MA-010734,Pioneer Restaurant Services,2024,Income,Hospitality,Somerville,568301.29,108898.08,459403.21,54920.66,44592.6,0.0,8,On Time,No,N/A,350000,1.6237,Compliant
MA-010735,Colonial Retail Group,2024,Sales/Use,Retail,Boston,184165.87,41972.56,142193.3,8887.08,15628.42,6741.33,6,Not Filed,Yes,Compliant,600000,0.3069,Suspicious
MA-010736,Commonwealth Manufacturing Services,2025,Sales/Use,Restaurant,Worcester,267557.89,49757.86,217800.04,13612.5,30929.18,17316.68,4,On Time,Yes,Fraud,450000,0.5946,Suspicious
MA-010737,Pilgrim Professional Services Holdings,2022,Sales/Use,Hospitality,Quincy,339303.0,150278.94,189024.06,11814.0,16395.74,4581.74,4,On Time,No,N/A,350000,0.9694,Compliant
MA-010738,Patriot Manufacturing LLC,2022,Income,Retail,Worcester,198404.1,73524.69,124879.41,8043.78,23810.34,15766.56,8,On Time,No,N/A,600000,0.3307,Suspicious
MA-010739,Pioneer Auto Repair Holdings,2025,Income,Restaurant,Boston,445417.91,168582.11,276835.8,23800.93,29232.66,5431.72,7,On Time,No,N/A,450000,0.9898,Compliant
MA-010740,Cape Healthcare Co,2022,Meals,Professional Services,Lowell,356415.55,146257.84,210157.71,14711.04,17799.06,3088.02,2,On Time,No,N/A,500000,0.7128,Compliant
MA-010741,Harbor Restaurant Group,2024,Income,Restaurant,Worcester,579362.39,216396.37,362966.02,24260.42,25048.62,788.2,5,On Time,No,N/A,450000,1.2875,Compliant
MA-010742,Federal Professional Services Co,2024,Corporate,Restaurant,Lowell,704185.75,137447.21,566738.54,48259.67,45187.41,0.0,6,Amended,Yes,Compliant,450000,1.5649,Compliant
MA-010743,Commonwealth Professional Services Solutions,2025,Sales/Use,Restaurant,Lowell,488251.89,150805.79,337446.1,21090.38,22712.16,1621.78,10,On Time,No,N/A,450000,1.085,Compliant
MA-010744,Patriot Healthcare Services,2023,Special Fuels,Professional Services,Lowell,238972.69,40566.62,198406.07,47617.46,48730.96,1113.5,1,On Time,No,N/A,500000,0.4779,Compliant
MA-010745,Valley Retail Ventures,2022,Corporate,Healthcare,New Bedford,194896.49,41261.85,153634.64,16131.78,48329.24,32197.46,13,Late,No,N/A,1200000,0.1624,Suspicious
MA-010746,Colonial Retail Associates,2025,Income,Healthcare,New Bedford,314915.11,77007.37,237907.74,13052.05,43652.27,30600.22,25,On Time,No,N/A,1200000,0.2624,Suspicious
MA-010747,Beacon Construction Associates,2024,Corporate,Restaurant,Boston,349907.17,123783.47,226123.7,24809.45,29311.03,4501.58,5,On Time,No,N/A,450000,0.7776,Compliant
MA-010748,Bay State Construction LLC,2022,Income,Healthcare,Cambridge,1905944.39,763536.02,1142408.37,99125.45,128723.67,29598.21,32,Late,Yes,Compliant,1200000,1.5883,Compliant
MA-010749,Southern Real Estate Associates,2024,Corporate,Retail,New Bedford,998562.71,153846.88,844715.84,63086.63,53524.2,0.0,18,On Time,No,N/A,600000,1.6643,Compliant
MA-010750,Pioneer Auto Repair Group,2025,Rooms Occupancy,Manufacturing,Brockton,2040159.52,396546.04,1643613.48,94507.78,88843.92,0.0,28,On Time,No,N/A,1500000,1.3601,Compliant
MA-010751,Beacon Real Estate Services,2025,Income,Real Estate,Worcester,932220.96,245484.99,686735.97,39525.24,40944.31,1419.07,8,On Time,No,N/A,700000,1.3317,Compliant
MA-010752,Liberty Restaurant Co,2023,Special Fuels,Healthcare,Lynn,857988.55,280342.91,577645.64,138634.95,138437.21,0.0,10,Amended,No,N/A,1200000,0.715,Compliant
MA-010753,Liberty Healthcare Ventures,2022,Sales/Use,Restaurant,Chelsea,436889.21,111013.26,325875.95,20367.25,21965.43,1598.18,3,Late,Yes,Underpaid,450000,0.9709,Compliant
MA-010754,Coastal Retail Holdings,2024,Corporate,Restaurant,Lowell,553727.61,93793.12,459934.49,32485.57,29732.79,0.0,11,On Time,No,N/A,450000,1.2305,Compliant
MA-010755,Colonial Healthcare LLC,2022,Corporate,Manufacturing,Boston,872429.57,166909.42,705520.15,78672.94,119322.05,40649.11,26,On Time,No,N/A,1500000,0.5816,Underpaid
MA-010756,Colonial Hospitality Associates,2024,Special Fuels,Real Estate,Chelsea,418110.95,72841.36,345269.59,82864.7,80218.64,0.0,4,Not Filed,No,N/A,700000,0.5973,Compliant
MA-010757,Patriot Hospitality Group,2025,Sales/Use,Retail,Brockton,445733.86,107246.6,338487.26,21155.45,22485.1,1329.65,1,Not Filed,No,N/A,600000,0.7429,Compliant
MA-010758,Patriot Hospitality Ventures,2023,Sales/Use,Professional Services,Worcester,475466.66,83529.69,391936.97,24496.06,22335.63,0.0,5,On Time,No,N/A,500000,0.9509,Compliant
MA-010759,Colonial Retail Enterprise,2025,Rooms Occupancy,Healthcare,Springfield,1771666.32,762638.47,1009027.85,58019.1,73443.07,15423.96,25,On Time,No,N/A,1200000,1.4764,Compliant
MA-010760,Coastal Manufacturing Holdings,2022,Corporate,Construction,Springfield,284081.03,54593.46,229487.56,26042.11,38731.74,12689.63,15,On Time,No,N/A,800000,0.3551,Underpaid
MA-010761,Pioneer Auto Repair Enterprise,2024,Rooms Occupancy,Retail,Lowell,836013.05,126894.95,709118.09,40774.29,33421.27,0.0,13,Late,No,N/A,600000,1.3934,Compliant
MA-010762,Northern Real Estate Co,2022,Income,Construction,Boston,526810.79,188165.15,338645.63,37421.02,66794.7,29373.68,4,On Time,No,N/A,800000,0.6585,Underpaid
MA-010763,Beacon Hospitality Solutions,2023,Sales/Use,Construction,New Bedford,669308.42,236067.91,433240.51,27077.53,29234.96,2157.42,14,Late,No,N/A,800000,0.8366,Compliant
MA-010764,Coastal Retail Holdings,2025,Income,Retail,Somerville,928074.89,307320.12,620754.77,36297.03,47447.68,11150.65,19,On Time,No,N/A,600000,1.5468,Compliant
MA-010765,Valley Manufacturing Services,2022,Corporate,Construction,Brockton,632702.34,139497.17,493205.17,53927.54,57003.17,3075.63,2,On Time,No,N/A,800000,0.7909,Compliant
MA-010766,Commonwealth Healthcare Enterprise,2023,Income,Construction,Lowell,862867.57,191733.12,671134.45,57587.4,51318.14,0.0,1,On Time,No,N/A,800000,1.0786,Compliant
MA-010767,Metro Retail Solutions,2025,Income,Construction,Worcester,914678.78,166655.16,748023.62,59230.57,54334.96,0.0,10,On Time,Yes,Compliant,800000,1.1433,Compliant
MA-010768,Colonial Construction Solutions,2025,Corporate,Healthcare,Boston,977025.73,405199.2,571826.53,46938.1,70567.96,23629.85,4,Amended,No,N/A,1200000,0.8142,Compliant
MA-010769,Federal Professional Services Ventures,2025,Income,Construction,Quincy,625456.8,228768.79,396688.01,29255.89,49744.61,20488.72,9,On Time,No,N/A,800000,0.7818,Underpaid
MA-010770,Summit Real Estate Associates,2025,Corporate,Retail,Fall River,361497.16,105385.71,256111.45,24619.49,25853.26,1233.78,1,Amended,No,N/A,600000,0.6025,Compliant
MA-010771,Harbor Retail Holdings,2024,Income,Manufacturing,Cambridge,1503702.19,407702.01,1096000.17,58246.97,53678.68,0.0,27,Not Filed,No,N/A,1500000,1.0025,Compliant
MA-010772,Pilgrim Healthcare Enterprise,2025,Rooms Occupancy,Restaurant,Boston,0.0,0.0,0.0,0.0,28281.88,28281.88,6,Not Filed,No,N/A,450000,0.0,Non-Filer
MA-010773,Pioneer Manufacturing Services,2025,Rooms Occupancy,Hospitality,Boston,264887.06,99327.48,165559.58,9519.68,12164.06,2644.38,5,On Time,No,N/A,350000,0.7568,Compliant
MA-010774,Colonial Construction Ventures,2022,Income,Professional Services,Boston,324691.28,102907.81,221783.47,14127.66,15338.25,1210.59,5,On Time,No,N/A,500000,0.6494,Compliant
MA-010775,Summit Restaurant Inc,2023,Corporate,Retail,New Bedford,765919.67,161656.45,604263.22,64475.26,53954.81,0.0,15,On Time,No,N/A,600000,1.2765,Compliant
MA-010776,Liberty Restaurant Inc,2023,Income,Construction,Cambridge,340835.22,101859.5,238975.71,25873.47,61347.9,35474.43,8,Late,No,N/A,800000,0.426,Suspicious
MA-010777,Summit Real Estate Associates,2023,Sales/Use,Retail,Chelsea,440275.19,141216.39,299058.81,18691.18,21871.67,3180.5,1,On Time,No,N/A,600000,0.7338,Compliant
MA-010778,Central Real Estate Holdings,2024,Income,Restaurant,Cambridge,219114.55,49391.61,169722.94,16841.46,34528.75,17687.29,7,On Time,No,N/A,450000,0.4869,Suspicious
MA-010779,Patriot Hospitality Group,2024,Sales/Use,Real Estate,Boston,964771.5,313388.42,651383.08,40711.44,38448.05,0.0,7,On Time,No,N/A,700000,1.3782,Compliant
MA-010780,Commonwealth Real Estate LLC,2023,Corporate,Professional Services,Boston,745948.83,294671.21,451277.62,32976.05,39236.33,6260.28,8,Amended,No,N/A,500000,1.4919,Compliant
MA-010781,Summit Auto Repair LLC,2022,Meals,Restaurant,Cambridge,191873.52,64033.91,127839.61,8948.77,26080.17,17131.4,1,Not Filed,No,N/A,450000,0.4264,Suspicious
MA-010782,Atlantic Construction Inc,2022,Income,Auto Repair,Worcester,39120.26,9428.98,29691.28,3250.85,4133.51,882.66,5,On Time,Yes,Underpaid,300000,0.1304,Underpaid
MA-010783,Liberty Restaurant Inc,2025,Corporate,Manufacturing,Brockton,1865091.18,496370.59,1368720.59,104578.39,117769.02,13190.63,21,On Time,No,N/A,1500000,1.2434,Compliant
MA-010784,Patriot Manufacturing LLC,2024,Income,Healthcare,Boston,1172562.38,257506.46,915055.93,83456.05,90022.09,6566.04,17,On Time,No,N/A,1200000,0.9771,Compliant
MA-010785,Liberty Hospitality Holdings,2022,Sales/Use,Hospitality,Fall River,155290.38,43724.61,111565.77,6972.86,8058.52,1085.66,1,On Time,No,N/A,350000,0.4437,Compliant
MA-010786,Pioneer Construction Enterprise,2023,Special Fuels,Healthcare,Quincy,1133691.51,196030.41,937661.1,225038.66,241251.84,16213.18,12,On Time,No,N/A,1200000,0.9447,Underpaid
MA-010787,Cape Manufacturing Group,2023,Rooms Occupancy,Professional Services,Brockton,267609.33,63638.84,203970.49,11728.3,22864.43,11136.12,1,Late,No,N/A,500000,0.5352,Suspicious
MA-010788,Summit Auto Repair LLC,2022,Corporate,Retail,New Bedford,510647.8,119458.47,391189.33,25133.46,36639.76,11506.29,8,Amended,No,N/A,600000,0.8511,Underpaid
MA-010789,Metro Restaurant Group,2024,Income,Retail,New Bedford,290210.48,104331.42,185879.06,17750.25,20081.49,2331.23,9,Late,Yes,Compliant,600000,0.4837,Compliant
MA-010790,Northern Construction Services,2022,Corporate,Restaurant,Worcester,339653.51,138861.17,200792.34,15446.24,21987.19,6540.95,1,On Time,No,N/A,450000,0.7548,Compliant
MA-010791,Metro Retail Ventures,2024,Income,Restaurant,Springfield,457328.95,152117.57,305211.38,34342.95,35948.23,1605.28,11,On Time,No,N/A,450000,1.0163,Compliant
MA-010792,Metro Restaurant Group,2024,Meals,Manufacturing,Chelsea,984901.32,363199.93,621701.39,43519.1,48814.95,5295.85,12,Late,Yes,Compliant,1500000,0.6566,Compliant
MA-010793,Cape Retail Group,2025,Sales/Use,Construction,New Bedford,930401.28,184930.9,745470.39,46591.9,44908.21,0.0,15,On Time,No,N/A,800000,1.163,Compliant
MA-010794,Metro Professional Services Associates,2024,Income,Auto Repair,Boston,202894.4,65195.0,137699.4,7257.09,13311.24,6054.14,2,Not Filed,No,N/A,300000,0.6763,Underpaid
MA-010795,Valley Construction Corp,2022,Meals,Retail,Lowell,347933.12,140661.64,207271.49,14509.0,23152.1,8643.1,5,On Time,Yes,Underpaid,600000,0.5799,Underpaid
MA-010796,Pilgrim Healthcare Holdings,2023,Sales/Use,Restaurant,Worcester,96277.48,32069.89,64207.59,4012.97,14227.52,10214.54,1,On Time,Yes,Underpaid,450000,0.2139,Suspicious
MA-010797,Summit Professional Services Services,2023,Meals,Manufacturing,Worcester,1738546.89,286641.01,1451905.88,101633.41,99484.54,0.0,25,On Time,Yes,Compliant,1500000,1.159,Compliant
MA-010798,Metro Retail Corp,2023,Income,Hospitality,Chelsea,0.0,0.0,0.0,0.0,2313.66,2313.66,1,Not Filed,No,N/A,350000,0.0,Non-Filer
MA-010799,Atlantic Restaurant Inc,2022,Income,Healthcare,Boston,1386490.79,292844.29,1093646.5,98346.83,89066.84,0.0,28,On Time,No,N/A,1200000,1.1554,Compliant
MA-010800,Patriot Hospitality Inc,2022,Income,Restaurant,Springfield,474646.69,198980.28,275666.41,21014.08,22849.22,1835.14,2,On Time,No,N/A,450000,1.0548,Compliant
MA-010801,Colonial Healthcare Co,2023,Income,Restaurant,Worcester,435582.0,132085.38,303496.62,31764.31,33097.28,1332.97,12,On Time,No,N/A,450000,0.968,Compliant
MA-010802,Summit Manufacturing Inc,2022,Meals,Retail,Boston,494244.93,85768.05,408476.88,28593.38,27503.44,0.0,1,Late,No,N/A,600000,0.8237,Compliant
MA-010803,Colonial Retail Group,2025,Sales/Use,Retail,Cambridge,356608.11,58993.48,297614.62,18600.91,23773.42,5172.5,1,Late,No,N/A,600000,0.5943,Underpaid
MA-010804,Valley Restaurant Associates,2024,Meals,Construction,Worcester,705626.19,154720.69,550905.5,38563.39,46101.52,7538.14,18,On Time,No,N/A,800000,0.882,Underpaid
MA-010805,Cape Real Estate Inc,2025,Special Fuels,Professional Services,Springfield,534513.3,138272.76,396240.53,95097.73,100892.29,5794.56,5,On Time,No,N/A,500000,1.069,Compliant
MA-010806,Colonial Retail Group,2023,Meals,Manufacturing,Boston,612364.18,214187.11,398177.07,27872.4,69089.09,41216.7,9,On Time,No,N/A,1500000,0.4082,Suspicious
